0,0,0,0,1,5,6,7
0,0,0,1,1,4,6,7
0,0,0,1,2,4,6,7
0,0,0,1,4,4,5,7
0,0,0,1,4,5,5,6
0,0,0,1,4,5,6,6
0,0,0,1,4,5,6,7
0,0,1,1,1,3,6,7
0,0,1,1,2,3,6,7
0,0,1,1,2,5,6,7
0,0,1,1,3,3,5,7
0,0,1,1,3,4,5,7
0,0,1,1,3,5,5,6
0,0,1,1,3,5,6,6
0,0,1,1,3,5,6,7
0,0,1,2,3,3,5,7
0,0,1,2,3,4,5,7
0,0,1,2,3,5,5,6
0,0,1,2,3,5,6,6
0,0,1,2,3,5,6,7
0,0,1,3,3,3,4,7
0,0,1,3,3,4,4,6
0,0,1,3,3,4,5,6
0,0,1,3,3,4,6,6
0,0,1,3,3,4,6,7
0,0,1,3,4,4,4,5
0,0,1,3,4,4,5,5
0,0,1,3,4,4,5,6
0,0,1,3,4,4,5,7
0,0,1,3,4,5,5,5
0,0,1,3,4,5,5,6
0,0,1,3,4,5,6,6
0,0,1,3,4,5,6,7
0,1,1,1,1,2,6,7
0,1,1,1,2,2,5,7
0,1,1,1,2,3,5,7
0,1,1,1,2,5,5,6
0,1,1,1,2,5,6,6
0,1,1,1,2,5,6,7
0,1,1,2,2,2,4,7
0,1,1,2,2,3,4,7
0,1,1,2,2,3,6,7
0,1,1,2,2,4,4,6
0,1,1,2,2,4,5,6
0,1,1,2,2,4,6,6
0,1,1,2,2,4,6,7
0,1,1,2,3,4,4,6
0,1,1,2,3,4,5,6
0,1,1,2,3,4,6,6
0,1,1,2,3,4,6,7
0,1,1,2,4,4,4,5
0,1,1,2,4,4,5,5
0,1,1,2,4,4,5,6
0,1,1,2,4,4,5,7
0,1,1,2,4,5,5,5
0,1,1,2,4,5,5,6
0,1,1,2,4,5,6,6
0,1,1,2,4,5,6,7
0,1,2,2,2,2,3,7
0,1,2,2,2,3,3,6
0,1,2,2,2,3,4,6
0,1,2,2,2,3,6,6
0,1,2,2,2,3,6,7
0,1,2,2,3,3,3,5
0,1,2,2,3,3,4,5
0,1,2,2,3,3,4,7
0,1,2,2,3,3,5,5
0,1,2,2,3,3,5,6
0,1,2,2,3,3,5,7
0,1,2,2,3,4,5,5
0,1,2,2,3,4,5,6
0,1,2,2,3,4,5,7
0,1,2,2,3,5,5,5
0,1,2,2,3,5,5,6
0,1,2,2,3,5,6,6
0,1,2,2,3,5,6,7
0,1,2,3,3,3,3,4
0,1,2,3,3,3,4,4
0,1,2,3,3,3,4,5
0,1,2,3,3,3,4,7
0,1,2,3,3,4,4,4
0,1,2,3,3,4,4,5
0,1,2,3,3,4,4,6
0,1,2,3,3,4,5,6
0,1,2,3,3,4,6,6
0,1,2,3,3,4,6,7
0,1,2,3,4,4,4,4
0,1,2,3,4,4,4,5
0,1,2,3,4,4,5,5
0,1,2,3,4,4,5,6
0,1,2,3,4,4,5,7
0,1,2,3,4,5,5,5
0,1,2,3,4,5,5,6
0,1,2,3,4,5,6,6
0,1,2,3,4,5,6,7
